"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Likes,Shares,Plays,Comments,Saves,Impressions,Reach
17913480776986412,17841437331682896,top_dawg_treats,"Top Dawg Treats - Event Organizer & Catering","🚨🚨 Cancelled Due To Bad Weather 🚨🚨

Labor Day Paw-Be-Que On The Green

Profits to benefit local animal rescue!!

Get ready for an unforgettable Labor Day celebration at our Paw-Be-Que On The Green! This family-friendly event is the perfect way to enjoy the holiday with your community and your furry friends. With a variety of activities designed to entertain both dogs and humans alike, there’s something for everyone.

Bring your lawn chairs, your four-legged companions, and your enthusiasm for a day of fun, food, and pawsitivity. Whether you're coming to meet other dog lovers, participate in exciting activities, or simply relax and enjoy the festive atmosphere, this event is not to be missed.

**Date:** September 1st 
**Time:** 3:00 PM - 9:00 PM 
**Location:** St. Matthews Church 
**Address:** 3616 Day Ave, Coconut Grove, FL, 33133

Interested in becoming a vendor? DM us for more details and join in on the fun!

#miamidogevents #miamifarmersmarket #miamifamily #miamidogs #miamievents #mysecretmiami",5,"08/16/2024 07:16",https://www.instagram.com/reel/C-u9UfFOo38/,"IG reel",,Lifetime,42,16,2076,5,0,,
18006634244460591,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","WE ARE BACK BABY!!! 

With more collabs, ideas, love, & friends! 

Meet your new BFF, build a greater connection to your pup and community! 

Every Thursday 6-7 pm @ MMC Halfmoon Cafe ( Below PG6 )

Rsvp in bio:) 

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #buylocal #localbusiness #mexican #cincodemayo #FIUcreators #fiu #floridainterantionaluniversity #tacotimeandmore #pets #tacos #friends",0,"09/30/2024 13:09",https://www.instagram.com/p/DAjd59vy9Pu/,"IG image",,Lifetime,34,3,,11,2,1921,1416
